selfUrl,id,createdDate,fixVersions,affectedVersions
https://issues.apache.org/jira/rest/api/2/issue/12929512,12929512,2016-01-12,[],[]
https://issues.apache.org/jira/rest/api/2/issue/12916308,12916308,2015-11-25,"[4.4.0, 4.3.2]",[]
https://issues.apache.org/jira/rest/api/2/issue/12895181,12895181,2015-09-21,[],[]
https://issues.apache.org/jira/rest/api/2/issue/12852623,12852623,2015-08-06,[4.4.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12839410,12839410,2015-06-21,[],"[4.0.0, 4.3.0]"
https://issues.apache.org/jira/rest/api/2/issue/12833969,12833969,2015-05-30,[4.4.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12830941,12830941,2015-05-19,"[4.4.0, 4.3.1]",[]
https://issues.apache.org/jira/rest/api/2/issue/12820254,12820254,2015-04-10,[4.5.0],[4.3.0]
https://issues.apache.org/jira/rest/api/2/issue/12820202,12820202,2015-04-10,[4.4.0],[4.3.0]
https://issues.apache.org/jira/rest/api/2/issue/12786455,12786455,2015-03-28,[],[]
https://issues.apache.org/jira/rest/api/2/issue/12780651,12780651,2015-03-09,"[4.4.0, 4.3.1]",[]
https://issues.apache.org/jira/rest/api/2/issue/12777218,12777218,2015-02-24,"[4.4.0, 4.3.1]",[]
https://issues.apache.org/jira/rest/api/2/issue/12776617,12776617,2015-02-21,"[4.4.0, 4.3.1]",[]
https://issues.apache.org/jira/rest/api/2/issue/12768077,12768077,2015-01-16,"[4.4.0, 4.3.1]",[]
https://issues.apache.org/jira/rest/api/2/issue/12767034,12767034,2015-01-13,"[4.4.0, 4.3.1]",[]
https://issues.apache.org/jira/rest/api/2/issue/12763351,12763351,2014-12-23,"[4.4.0, 4.3.1]",[]
https://issues.apache.org/jira/rest/api/2/issue/12762320,12762320,2014-12-17,[4.4.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12762316,12762316,2014-12-17,[],[]
https://issues.apache.org/jira/rest/api/2/issue/12762071,12762071,2014-12-16,[4.4.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12760825,12760825,2014-12-10,[4.4.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12760061,12760061,2014-12-08,[4.4.0],[4.3.0]
https://issues.apache.org/jira/rest/api/2/issue/12759347,12759347,2014-12-04,"[4.0.0, 4.4.0, 4.3.1]","[4.3.0, 4.2.3]"
https://issues.apache.org/jira/rest/api/2/issue/12759344,12759344,2014-12-04,"[4.4.0, 4.3.1]",[4.3.0]
https://issues.apache.org/jira/rest/api/2/issue/12759343,12759343,2014-12-04,"[4.4.0, 4.3.1]",[4.3.0]
https://issues.apache.org/jira/rest/api/2/issue/12759336,12759336,2014-12-04,"[4.4.0, 4.3.1]",[4.3.0]
https://issues.apache.org/jira/rest/api/2/issue/12757666,12757666,2014-11-25,"[4.4.0, 4.3.1]",[4.3.0]
https://issues.apache.org/jira/rest/api/2/issue/12757378,12757378,2014-11-24,"[4.4.0, 4.3.1]",[4.3.0]
https://issues.apache.org/jira/rest/api/2/issue/12757019,12757019,2014-11-21,[4.4.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12757018,12757018,2014-11-21,[4.4.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12757015,12757015,2014-11-21,[4.4.0],[]
