Project,Run,Classifier,Sampling,FeatureSelection,ReleaseIndex,Precision,Recall,F-Measure,AUC,Kappa,NPofB20,SelectedFeatures
BOOKKEEPER,1,RandomForest,SMOTE,NoSelection,3,0.5426,0.0772,0.1351,0.5950,0.0660,0.1091,LOC;NumStatements;NumParams;NumLocalVars;Cyclomatic;CognitiveComplexity;NestingDepth;ReturnTypeComplexity;CodeSmells;NR;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;LOC_Deleted;MAX_LOC_Deleted;AVG_LOC_Deleted;Churn;MAX_Churn;AVG_Churn;Global_NR;Global_NAuth;Global_LOC_Added;Global_MAX_LOC_Added;Global_AVG_LOC_Added;Global_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Deleted;Global_Churn;Global_MAX_Churn;Global_AVG_Churn
BOOKKEEPER,1,RandomForest,SMOTE,NoSelection,4,0.1268,0.1809,0.1491,0.5976,0.0470,0.3264,LOC;NumStatements;NumParams;NumLocalVars;Cyclomatic;CognitiveComplexity;NestingDepth;ReturnTypeComplexity;CodeSmells;NR;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;LOC_Deleted;MAX_LOC_Deleted;AVG_LOC_Deleted;Churn;MAX_Churn;AVG_Churn;Global_NR;Global_NAuth;Global_LOC_Added;Global_MAX_LOC_Added;Global_AVG_LOC_Added;Global_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Deleted;Global_Churn;Global_MAX_Churn;Global_AVG_Churn
BOOKKEEPER,1,RandomForest,SMOTE,BestFirst,2,0.1111,0.1893,0.1400,0.5516,0.0651,0.2189,NumLocalVars;NestingDepth;NR;Global_NR
BOOKKEEPER,1,RandomForest,SMOTE,BestFirst,3,0.6296,0.0976,0.1690,0.5786,0.0970,0.1167,LOC;NumStatements;NumLocalVars;Cyclomatic;LOC_Added;Global_NR;Global_AVG_LOC_Deleted
BOOKKEEPER,1,RandomForest,SMOTE,BestFirst,4,NaN,0.0000,NaN,0.5000,0.0000,0.1871,AVG_LOC_Added;AVG_LOC_Deleted;AVG_Churn
BOOKKEEPER,1,RandomForest,SMOTE,InfoGain,2,0.3091,0.2012,0.2437,0.7415,0.2038,0.3254,LOC;Global_NR;NR;Cyclomatic;CognitiveComplexity;NestingDepth;NumStatements;Global_AVG_LOC_Deleted;AVG_LOC_Deleted;NumLocalVars;Global_NAuth;NAuth;Global_LOC_Added;LOC_Added;Churn;Global_Churn;LOC_Deleted;Global_LOC_Deleted;MAX_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Added;AVG_LOC_Added;MAX_LOC_Added;Global_MAX_LOC_Added;AVG_Churn;MAX_Churn;Global_MAX_Churn;Global_AVG_Churn;NumParams
BOOKKEEPER,1,RandomForest,SMOTE,InfoGain,3,0.5388,0.0797,0.1389,0.6068,0.0675,0.1103,LOC;Cyclomatic;CognitiveComplexity;Global_NR;NestingDepth;NumLocalVars;NumStatements;Global_NAuth;NR;Global_AVG_LOC_Deleted;Global_LOC_Added;Global_AVG_Churn;Global_Churn;Global_LOC_Deleted;NAuth;LOC_Added;Global_MAX_LOC_Deleted;Global_AVG_LOC_Added;Global_MAX_LOC_Added;Global_MAX_Churn;AVG_LOC_Added;MAX_LOC_Added;MAX_Churn;AVG_Churn;Churn;AVG_LOC_Deleted;MAX_LOC_Deleted;LOC_Deleted;NumParams
BOOKKEEPER,1,RandomForest,SMOTE,InfoGain,4,0.1339,0.1871,0.1561,0.5906,0.0558,0.3139,AVG_Churn;MAX_LOC_Added;AVG_LOC_Added;MAX_Churn;Churn;LOC_Added;NR;AVG_LOC_Deleted;NAuth;Global_AVG_Churn;LOC_Deleted;MAX_LOC_Deleted;Global_Churn;Global_AVG_LOC_Added;Global_MAX_Churn;Global_AVG_LOC_Deleted;Global_LOC_Added;Global_MAX_LOC_Added;Global_NR;Global_MAX_LOC_Deleted;Global_NAuth;Global_LOC_Deleted;LOC;NumStatements;Cyclomatic;CognitiveComplexity;NestingDepth;NumParams;NumLocalVars;ReturnTypeComplexity
BOOKKEEPER,2,RandomForest,NoSampling,NoSelection,2,0.5263,0.0592,0.1064,0.7890,0.0947,0.3077,LOC;NumStatements;NumParams;NumLocalVars;Cyclomatic;CognitiveComplexity;NestingDepth;ReturnTypeComplexity;CodeSmells;NR;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;LOC_Deleted;MAX_LOC_Deleted;AVG_LOC_Deleted;Churn;MAX_Churn;AVG_Churn;Global_NR;Global_NAuth;Global_LOC_Added;Global_MAX_LOC_Added;Global_AVG_LOC_Added;Global_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Deleted;Global_Churn;Global_MAX_Churn;Global_AVG_Churn
BOOKKEEPER,2,RandomForest,NoSampling,NoSelection,3,0.7188,0.0147,0.0288,0.6352,0.0171,0.1091,LOC;NumStatements;NumParams;NumLocalVars;Cyclomatic;CognitiveComplexity;NestingDepth;ReturnTypeComplexity;CodeSmells;NR;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;LOC_Deleted;MAX_LOC_Deleted;AVG_LOC_Deleted;Churn;MAX_Churn;AVG_Churn;Global_NR;Global_NAuth;Global_LOC_Added;Global_MAX_LOC_Added;Global_AVG_LOC_Added;Global_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Deleted;Global_Churn;Global_MAX_Churn;Global_AVG_Churn
BOOKKEEPER,2,RandomForest,NoSampling,NoSelection,4,0.2742,0.1060,0.1529,0.6331,0.1076,0.2370,LOC;NumStatements;NumParams;NumLocalVars;Cyclomatic;CognitiveComplexity;NestingDepth;ReturnTypeComplexity;CodeSmells;NR;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;LOC_Deleted;MAX_LOC_Deleted;AVG_LOC_Deleted;Churn;MAX_Churn;AVG_Churn;Global_NR;Global_NAuth;Global_LOC_Added;Global_MAX_LOC_Added;Global_AVG_LOC_Added;Global_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Deleted;Global_Churn;Global_MAX_Churn;Global_AVG_Churn
BOOKKEEPER,2,RandomForest,NoSampling,BestFirst,2,0.4167,0.0592,0.1036,0.6728,0.0892,0.2367,NumLocalVars;NestingDepth;NR;Global_NR
BOOKKEEPER,2,RandomForest,NoSampling,BestFirst,3,0.7174,0.0210,0.0409,0.6170,0.0244,0.1173,LOC;NumStatements;NumLocalVars;Cyclomatic;LOC_Added;Global_NR;Global_AVG_LOC_Deleted
BOOKKEEPER,2,RandomForest,NoSampling,BestFirst,4,NaN,0.0000,NaN,0.5000,0.0000,0.2037,AVG_LOC_Added;AVG_LOC_Deleted;AVG_Churn
BOOKKEEPER,2,RandomForest,NoSampling,InfoGain,2,0.5000,0.0533,0.0963,0.7655,0.0851,0.3254,LOC;Global_NR;NR;Cyclomatic;CognitiveComplexity;NestingDepth;NumStatements;Global_AVG_LOC_Deleted;AVG_LOC_Deleted;NumLocalVars;Global_NAuth;NAuth;Global_LOC_Added;LOC_Added;Churn;Global_Churn;LOC_Deleted;Global_LOC_Deleted;MAX_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Added;AVG_LOC_Added;MAX_LOC_Added;Global_MAX_LOC_Added;AVG_Churn;MAX_Churn;Global_MAX_Churn;Global_AVG_Churn;NumParams
BOOKKEEPER,2,RandomForest,NoSampling,InfoGain,3,0.7241,0.0134,0.0263,0.6507,0.0157,0.1122,LOC;Cyclomatic;CognitiveComplexity;Global_NR;NestingDepth;NumLocalVars;NumStatements;Global_NAuth;NR;Global_AVG_LOC_Deleted;Global_LOC_Added;Global_AVG_Churn;Global_Churn;Global_LOC_Deleted;NAuth;LOC_Added;Global_MAX_LOC_Deleted;Global_AVG_LOC_Added;Global_MAX_LOC_Added;Global_MAX_Churn;AVG_LOC_Added;MAX_LOC_Added;MAX_Churn;AVG_Churn;Churn;AVG_LOC_Deleted;MAX_LOC_Deleted;LOC_Deleted;NumParams
BOOKKEEPER,2,RandomForest,NoSampling,InfoGain,4,0.2703,0.1040,0.1502,0.6401,0.1048,0.2474,AVG_Churn;MAX_LOC_Added;AVG_LOC_Added;MAX_Churn;Churn;LOC_Added;NR;AVG_LOC_Deleted;NAuth;Global_AVG_Churn;LOC_Deleted;MAX_LOC_Deleted;Global_Churn;Global_AVG_LOC_Added;Global_MAX_Churn;Global_AVG_LOC_Deleted;Global_LOC_Added;Global_MAX_LOC_Added;Global_NR;Global_MAX_LOC_Deleted;Global_NAuth;Global_LOC_Deleted;LOC;NumStatements;Cyclomatic;CognitiveComplexity;NestingDepth;NumParams;NumLocalVars;ReturnTypeComplexity
BOOKKEEPER,2,RandomForest,SMOTE,NoSelection,2,0.3333,0.2189,0.2643,0.7522,0.2252,0.2959,LOC;NumStatements;NumParams;NumLocalVars;Cyclomatic;CognitiveComplexity;NestingDepth;ReturnTypeComplexity;CodeSmells;NR;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;LOC_Deleted;MAX_LOC_Deleted;AVG_LOC_Deleted;Churn;MAX_Churn;AVG_Churn;Global_NR;Global_NAuth;Global_LOC_Added;Global_MAX_LOC_Added;Global_AVG_LOC_Added;Global_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Deleted;Global_Churn;Global_MAX_Churn;Global_AVG_Churn
BOOKKEEPER,2,RandomForest,SMOTE,NoSelection,3,0.5169,0.0778,0.1353,0.5963,0.0624,0.1122,LOC;NumStatements;NumParams;NumLocalVars;Cyclomatic;CognitiveComplexity;NestingDepth;ReturnTypeComplexity;CodeSmells;NR;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;LOC_Deleted;MAX_LOC_Deleted;AVG_LOC_Deleted;Churn;MAX_Churn;AVG_Churn;Global_NR;Global_NAuth;Global_LOC_Added;Global_MAX_LOC_Added;Global_AVG_LOC_Added;Global_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Deleted;Global_Churn;Global_MAX_Churn;Global_AVG_Churn
BOOKKEEPER,2,RandomForest,SMOTE,NoSelection,4,0.1358,0.1892,0.1581,0.5983,0.0582,0.2931,LOC;NumStatements;NumParams;NumLocalVars;Cyclomatic;CognitiveComplexity;NestingDepth;ReturnTypeComplexity;CodeSmells;NR;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;LOC_Deleted;MAX_LOC_Deleted;AVG_LOC_Deleted;Churn;MAX_Churn;AVG_Churn;Global_NR;Global_NAuth;Global_LOC_Added;Global_MAX_LOC_Added;Global_AVG_LOC_Added;Global_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Deleted;Global_Churn;Global_MAX_Churn;Global_AVG_Churn
BOOKKEEPER,2,RandomForest,SMOTE,BestFirst,2,0.1079,0.2189,0.1445,0.5654,0.0649,0.2249,NumLocalVars;NestingDepth;NR;Global_NR
BOOKKEEPER,2,RandomForest,SMOTE,BestFirst,3,0.5067,0.0963,0.1618,0.5833,0.0740,0.1250,LOC;NumStatements;NumLocalVars;Cyclomatic;LOC_Added;Global_NR;Global_AVG_LOC_Deleted
BOOKKEEPER,2,RandomForest,SMOTE,BestFirst,4,NaN,0.0000,NaN,0.5000,0.0000,0.1830,AVG_LOC_Added;AVG_LOC_Deleted;AVG_Churn
BOOKKEEPER,2,RandomForest,SMOTE,InfoGain,2,0.3269,0.2012,0.2491,0.7266,0.2109,0.3077,LOC;Global_NR;NR;Cyclomatic;CognitiveComplexity;NestingDepth;NumStatements;Global_AVG_LOC_Deleted;AVG_LOC_Deleted;NumLocalVars;Global_NAuth;NAuth;Global_LOC_Added;LOC_Added;Churn;Global_Churn;LOC_Deleted;Global_LOC_Deleted;MAX_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Added;AVG_LOC_Added;MAX_LOC_Added;Global_MAX_LOC_Added;AVG_Churn;MAX_Churn;Global_MAX_Churn;Global_AVG_Churn;NumParams
BOOKKEEPER,2,RandomForest,SMOTE,InfoGain,3,0.5000,0.0740,0.1289,0.5965,0.0566,0.1040,LOC;Cyclomatic;CognitiveComplexity;Global_NR;NestingDepth;NumLocalVars;NumStatements;Global_NAuth;NR;Global_AVG_LOC_Deleted;Global_LOC_Added;Global_AVG_Churn;Global_Churn;Global_LOC_Deleted;NAuth;LOC_Added;Global_MAX_LOC_Deleted;Global_AVG_LOC_Added;Global_MAX_LOC_Added;Global_MAX_Churn;AVG_LOC_Added;MAX_LOC_Added;MAX_Churn;AVG_Churn;Churn;AVG_LOC_Deleted;MAX_LOC_Deleted;LOC_Deleted;NumParams
BOOKKEEPER,2,RandomForest,SMOTE,InfoGain,4,0.1313,0.1850,0.1536,0.5948,0.0525,0.3160,AVG_Churn;MAX_LOC_Added;AVG_LOC_Added;MAX_Churn;Churn;LOC_Added;NR;AVG_LOC_Deleted;NAuth;Global_AVG_Churn;LOC_Deleted;MAX_LOC_Deleted;Global_Churn;Global_AVG_LOC_Added;Global_MAX_Churn;Global_AVG_LOC_Deleted;Global_LOC_Added;Global_MAX_LOC_Added;Global_NR;Global_MAX_LOC_Deleted;Global_NAuth;Global_LOC_Deleted;LOC;NumStatements;Cyclomatic;CognitiveComplexity;NestingDepth;NumParams;NumLocalVars;ReturnTypeComplexity
BOOKKEEPER,3,RandomForest,NoSampling,NoSelection,2,0.5000,0.0592,0.1058,0.7672,0.0936,0.2840,LOC;NumStatements;NumParams;NumLocalVars;Cyclomatic;CognitiveComplexity;NestingDepth;ReturnTypeComplexity;CodeSmells;NR;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;LOC_Deleted;MAX_LOC_Deleted;AVG_LOC_Deleted;Churn;MAX_Churn;AVG_Churn;Global_NR;Global_NAuth;Global_LOC_Added;Global_MAX_LOC_Added;Global_AVG_LOC_Added;Global_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Deleted;Global_Churn;Global_MAX_Churn;Global_AVG_Churn
BOOKKEEPER,3,RandomForest,NoSampling,NoSelection,3,0.8148,0.0140,0.0276,0.6423,0.0177,0.1129,LOC;NumStatements;NumParams;NumLocalVars;Cyclomatic;CognitiveComplexity;NestingDepth;ReturnTypeComplexity;CodeSmells;NR;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;LOC_Deleted;MAX_LOC_Deleted;AVG_LOC_Deleted;Churn;MAX_Churn;AVG_Churn;Global_NR;Global_NAuth;Global_LOC_Added;Global_MAX_LOC_Added;Global_AVG_LOC_Added;Global_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Deleted;Global_Churn;Global_MAX_Churn;Global_AVG_Churn
BOOKKEEPER,3,RandomForest,NoSampling,NoSelection,4,0.2523,0.1164,0.1593,0.6348,0.1080,0.2391,LOC;NumStatements;NumParams;NumLocalVars;Cyclomatic;CognitiveComplexity;NestingDepth;ReturnTypeComplexity;CodeSmells;NR;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;LOC_Deleted;MAX_LOC_Deleted;AVG_LOC_Deleted;Churn;MAX_Churn;AVG_Churn;Global_NR;Global_NAuth;Global_LOC_Added;Global_MAX_LOC_Added;Global_AVG_LOC_Added;Global_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Deleted;Global_Churn;Global_MAX_Churn;Global_AVG_Churn
BOOKKEEPER,3,RandomForest,NoSampling,BestFirst,2,0.3448,0.0592,0.1010,0.6732,0.0839,0.2426,NumLocalVars;NestingDepth;NR;Global_NR
BOOKKEEPER,3,RandomForest,NoSampling,BestFirst,3,0.6154,0.0153,0.0299,0.6185,0.0157,0.1224,LOC;NumStatements;NumLocalVars;Cyclomatic;LOC_Added;Global_NR;Global_AVG_LOC_Deleted
BOOKKEEPER,3,RandomForest,NoSampling,BestFirst,4,NaN,0.0000,NaN,0.5000,0.0000,0.1996,AVG_LOC_Added;AVG_LOC_Deleted;AVG_Churn
BOOKKEEPER,3,RandomForest,NoSampling,InfoGain,2,0.5500,0.0651,0.1164,0.7770,0.1043,0.3254,LOC;Global_NR;NR;Cyclomatic;CognitiveComplexity;NestingDepth;NumStatements;Global_AVG_LOC_Deleted;AVG_LOC_Deleted;NumLocalVars;Global_NAuth;NAuth;Global_LOC_Added;LOC_Added;Churn;Global_Churn;LOC_Deleted;Global_LOC_Deleted;MAX_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Added;AVG_LOC_Added;MAX_LOC_Added;Global_MAX_LOC_Added;AVG_Churn;MAX_Churn;Global_MAX_Churn;Global_AVG_Churn;NumParams
BOOKKEEPER,3,RandomForest,NoSampling,InfoGain,3,0.6538,0.0108,0.0213,0.6488,0.0118,0.1161,LOC;Cyclomatic;CognitiveComplexity;Global_NR;NestingDepth;NumLocalVars;NumStatements;Global_NAuth;NR;Global_AVG_LOC_Deleted;Global_LOC_Added;Global_AVG_Churn;Global_Churn;Global_LOC_Deleted;NAuth;LOC_Added;Global_MAX_LOC_Deleted;Global_AVG_LOC_Added;Global_MAX_LOC_Added;Global_MAX_Churn;AVG_LOC_Added;MAX_LOC_Added;MAX_Churn;AVG_Churn;Churn;AVG_LOC_Deleted;MAX_LOC_Deleted;LOC_Deleted;NumParams
BOOKKEEPER,3,RandomForest,NoSampling,InfoGain,4,0.3129,0.1060,0.1584,0.6333,0.1177,0.2391,AVG_Churn;MAX_LOC_Added;AVG_LOC_Added;MAX_Churn;Churn;LOC_Added;NR;AVG_LOC_Deleted;NAuth;Global_AVG_Churn;LOC_Deleted;MAX_LOC_Deleted;Global_Churn;Global_AVG_LOC_Added;Global_MAX_Churn;Global_AVG_LOC_Deleted;Global_LOC_Added;Global_MAX_LOC_Added;Global_NR;Global_MAX_LOC_Deleted;Global_NAuth;Global_LOC_Deleted;LOC;NumStatements;Cyclomatic;CognitiveComplexity;NestingDepth;NumParams;NumLocalVars;ReturnTypeComplexity
