Project,Run,Classifier,Sampling,FeatureSelection,ReleaseIndex,Precision,Recall,F-Measure,AUC,Kappa,NPofB20,SelectedFeatures
OPENJPA,1,RandomForest,NoSampling,NoSelection,12,0.8495,0.2634,0.4021,0.8165,0.3394,0.3641,LOC;NumStatements;NumParams;NumLocalVars;Cyclomatic;CognitiveComplexity;NestingDepth;ReturnTypeComplexity;CodeSmells;NR;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;LOC_Deleted;MAX_LOC_Deleted;AVG_LOC_Deleted;Churn;MAX_Churn;AVG_Churn;Global_NR;Global_NAuth;Global_LOC_Added;Global_MAX_LOC_Added;Global_AVG_LOC_Added;Global_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Deleted;Global_Churn;Global_MAX_Churn;Global_AVG_Churn
OPENJPA,1,RandomForest,NoSampling,NoSelection,13,0.8790,0.2990,0.4462,0.8054,0.3826,0.3801,LOC;NumStatements;NumParams;NumLocalVars;Cyclomatic;CognitiveComplexity;NestingDepth;ReturnTypeComplexity;CodeSmells;NR;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;LOC_Deleted;MAX_LOC_Deleted;AVG_LOC_Deleted;Churn;MAX_Churn;AVG_Churn;Global_NR;Global_NAuth;Global_LOC_Added;Global_MAX_LOC_Added;Global_AVG_LOC_Added;Global_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Deleted;Global_Churn;Global_MAX_Churn;Global_AVG_Churn
OPENJPA,1,RandomForest,NoSampling,NoSelection,14,0.8981,0.3843,0.5383,0.8247,0.4758,0.4197,LOC;NumStatements;NumParams;NumLocalVars;Cyclomatic;CognitiveComplexity;NestingDepth;ReturnTypeComplexity;CodeSmells;NR;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;LOC_Deleted;MAX_LOC_Deleted;AVG_LOC_Deleted;Churn;MAX_Churn;AVG_Churn;Global_NR;Global_NAuth;Global_LOC_Added;Global_MAX_LOC_Added;Global_AVG_LOC_Added;Global_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Deleted;Global_Churn;Global_MAX_Churn;Global_AVG_Churn
OPENJPA,1,RandomForest,NoSampling,BestFirst,2,0.7273,0.1111,0.1928,0.7194,0.1898,0.4815,NumLocalVars;Cyclomatic;CodeSmells
OPENJPA,1,RandomForest,NoSampling,BestFirst,3,0.5714,0.1034,0.1752,0.7252,0.1714,0.4138,NumLocalVars;Cyclomatic;CodeSmells
OPENJPA,1,RandomForest,NoSampling,BestFirst,4,0.5472,0.0795,0.1388,0.6897,0.1338,0.3315,NumLocalVars;Cyclomatic;CodeSmells;NAuth
OPENJPA,1,RandomForest,NoSampling,BestFirst,5,0.8941,0.1641,0.2774,0.8181,0.2710,0.6091,LOC;NumLocalVars;Cyclomatic;NestingDepth;CodeSmells;NAuth;AVG_LOC_Added;Global_NAuth
OPENJPA,1,RandomForest,NoSampling,BestFirst,6,0.9554,0.2712,0.4225,0.8594,0.4141,0.6817,NumStatements;NumLocalVars;Cyclomatic;NestingDepth;CodeSmells;NAuth;AVG_LOC_Added;AVG_Churn;Global_NAuth;Global_AVG_LOC_Added
OPENJPA,1,RandomForest,NoSampling,BestFirst,7,0.6066,0.0123,0.0242,0.5782,0.0172,0.1179,NumLocalVars;NestingDepth;NAuth;AVG_LOC_Added;Global_NAuth
OPENJPA,1,RandomForest,NoSampling,BestFirst,8,0.8295,0.0578,0.1081,0.6949,0.0863,0.2118,NumLocalVars;NestingDepth;AVG_LOC_Added;Global_NAuth;Global_AVG_LOC_Added
