Version,ReleaseIndex,ReleaseData,File,Class,Signature,LOC,NumStatements,NumParams,NumLocalVars,Cyclomatic,CognitiveComplexity,NestingDepth,ReturnTypeComplexity,CodeSmells,NR,NAuth,LOC_Added,MAX_LOC_Added,AVG_LOC_Added,LOC_Deleted,MAX_LOC_Deleted,AVG_LOC_Deleted,Churn,MAX_Churn,AVG_Churn,Global_NR,Global_NAuth,Global_LOC_Added,Global_MAX_LOC_Added,Global_AVG_LOC_Added,Global_LOC_Deleted,Global_MAX_LOC_Deleted,Global_AVG_LOC_Deleted,Global_Churn,Global_MAX_Churn,Global_AVG_Churn,isBuggy
4.2.1,5,2013-03-27,JLineHedwigCompletor.java,JLineHedwigCompletor,"'org.apache.hedwig.admin.console.JLineHedwigCompletor.complete(String, int, List)'",18,6,3,3,4,4,2,1,0,1,1,1,1,1,1,1,1,2,2,2,2,2,93,92,46.5,1,1,0.5,94,92,47,True
4.2.1,5,2013-03-27,EntryLogger.java,EntryLogger,"'org.apache.bookkeeper.bookie.EntryLogger.setLastLogId(File, long)'",14,4,2,2,2,3,3,1,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,4,2,2,True
4.2.1,5,2013-03-27,BookKeeper.SyncCreateCallback.java,BookKeeper.SyncCreateCallback,"'org.apache.bookkeeper.client.BookKeeper.SyncCreateCallback.createComplete(int, LedgerHandle, Object)'",6,4,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,60,60,60,0,0,0,60,60,60,True
4.2.1,5,2013-03-27,LedgerChecker.java,LedgerChecker,"'org.apache.bookkeeper.client.LedgerChecker.verifyLedgerFragment(LedgerFragment, GenericCallback)'",19,4,2,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.2.1,5,2013-03-27,ZkMetadataManagerFactory.ZkTopicPersistenceManagerImpl.java,ZkMetadataManagerFactory.ZkTopicPersistenceManagerImpl,"'org.apache.hedwig.server.meta.ZkMetadataManagerFactory.ZkTopicPersistenceManagerImpl.parseAndReturnTopicLedgerRanges(ByteString, byte[], int, Callback, Object)'",12,1,5,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.2.1,5,2013-03-27,SimpleSubscribeResponseHandler.java,SimpleSubscribeResponseHandler,org.apache.hedwig.client.netty.impl.simple.SimpleSubscribeResponseHandler.handleSubscribeMessage(PubSubResponse),9,4,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,4,1.666667,43,38,14.333333,48,42,16,False
4.2.1,5,2013-03-27,HedwigBenchmark.java,HedwigBenchmark,org.apache.hedwig.client.benchmark.HedwigBenchmark.isSSLEnabled(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.2.1,5,2013-03-27,PubSubProtocol.HubLoadData.Builder.java,PubSubProtocol.HubLoadData.Builder,org.apache.hedwig.protocol.PubSubProtocol.HubLoadData.Builder.getNumTopics(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.2.1,5,2013-03-27,BenchReadThroughputLatency.java,BenchReadThroughputLatency,org.apache.bookkeeper.benchmark.BenchReadThroughputLatency.main(String[]),110,24,1,20,17,22,7,1,0,1,1,1,1,1,1,1,1,2,2,2,7,2,10,4,1.428571,4,1,0.571429,14,4,2,True
4.2.1,5,2013-03-27,PubSubProtocol.SubscriptionState.Builder.java,PubSubProtocol.SubscriptionState.Builder,org.apache.hedwig.protocol.PubSubProtocol.SubscriptionState.Builder.hasMsgId(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,3,2,1,1,0.5,5,3,2.5,False
4.2.1,5,2013-03-27,PubSubProtocol.ManagerMeta.java,PubSubProtocol.ManagerMeta,org.apache.hedwig.protocol.PubSubProtocol.ManagerMeta.writeTo(com.google.protobuf.CodedOutputStream),10,4,1,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.2.1,5,2013-03-27,HedwigConsole.MyCommandOptions.java,HedwigConsole.MyCommandOptions,org.apache.hedwig.admin.console.HedwigConsole.MyCommandOptions.parseOptions(String[]),24,4,1,3,5,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.2.1,5,2013-03-27,PubSubProtocol.PubSubResponse.Builder.java,PubSubProtocol.PubSubResponse.Builder,org.apache.hedwig.protocol.PubSubProtocol.PubSubResponse.Builder.setTopic(com.google.protobuf.ByteString),9,5,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,2,2,2,5,5,5,False
4.2.1,5,2013-03-27,SafeAsyncZKCallback.StatCallback.java,SafeAsyncZKCallback.StatCallback,"'org.apache.hedwig.zookeeper.SafeAsyncZKCallback.StatCallback.processResult(int, String, Object, Stat)'",7,1,4,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,98,98,98,0,0,0,98,98,98,False
4.2.1,5,2013-03-27,PubSubProtocol.SubscriptionEventResponse.Builder.java,PubSubProtocol.SubscriptionEventResponse.Builder,org.apache.hedwig.protocol.PubSubProtocol.SubscriptionEventResponse.Builder.mergeFrom(org.apache.hedwig.protocol.PubSubProtocol.SubscriptionEventResponse),9,4,1,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,4,4,4,4,8,8,8,False
4.2.1,5,2013-03-27,JmsHeader.JmsValue.Builder.java,JmsHeader.JmsValue.Builder,org.apache.hedwig.jms.message.header.JmsHeader.JmsValue.Builder.create(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.2.1,5,2013-03-27,PubSubProtocol.MessageHeader.java,PubSubProtocol.MessageHeader,org.apache.hedwig.protocol.PubSubProtocol.MessageHeader.getPropertiesOrBuilder(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.2.1,5,2013-03-27,PubSubProtocol.RegionSpecificSeqId.Builder.java,PubSubProtocol.RegionSpecificSeqId.Builder,org.apache.hedwig.protocol.PubSubProtocol.RegionSpecificSeqId.Builder.getRegion(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,False
4.2.1,5,2013-03-27,PubSubProtocol.PubSubRequest.java,PubSubProtocol.PubSubRequest,org.apache.hedwig.protocol.PubSubProtocol.PubSubRequest.getCloseSubscriptionRequestOrBuilder(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
