Version,ReleaseIndex,ReleaseData,File,Class,Signature,LOC,NumStatements,NumParams,NumLocalVars,Cyclomatic,CognitiveComplexity,NestingDepth,ReturnTypeComplexity,CodeSmells,NR,NAuth,LOC_Added,MAX_LOC_Added,AVG_LOC_Added,LOC_Deleted,MAX_LOC_Deleted,AVG_LOC_Deleted,Churn,MAX_Churn,AVG_Churn,Global_NR,Global_NAuth,Global_LOC_Added,Global_MAX_LOC_Added,Global_AVG_LOC_Added,Global_LOC_Deleted,Global_MAX_LOC_Deleted,Global_AVG_LOC_Deleted,Global_Churn,Global_MAX_Churn,Global_AVG_Churn,isBuggy
4.1.1,3,2013-01-16,LedgerCacheImpl.java,LedgerCacheImpl,org.apache.bookkeeper.bookie.LedgerCacheImpl.getNumCleanLedgers(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,PubSubProtocol.SubscribeRequest.java,PubSubProtocol.SubscribeRequest,org.apache.hedwig.protocol.PubSubProtocol.SubscribeRequest.parseFrom(byte[]),3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,ServerConfiguration.java,ServerConfiguration,org.apache.hedwig.server.common.ServerConfiguration.getMyRegionByteString(),6,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,ServerStats.java,ServerStats,org.apache.bookkeeper.proto.ServerStats.updateLatency(long),11,5,1,1,3,2,1,1,0,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,True
4.1.1,3,2013-01-16,PubSubProtocol.MessageSeqId.Builder.java,PubSubProtocol.MessageSeqId.Builder,org.apache.hedwig.protocol.PubSubProtocol.MessageSeqId.Builder.setLocalComponent(long),6,4,1,0,1,0,0,1,0,1,1,3,3,3,2,2,2,5,5,5,1,1,3,3,3,2,2,2,5,5,5,True
4.1.1,3,2013-01-16,PubSubProtocol.MessageHeaderOrBuilder.java,PubSubProtocol.MessageHeaderOrBuilder,org.apache.hedwig.protocol.PubSubProtocol.MessageHeaderOrBuilder.getPropertiesOrBuilder(),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,CleanupChannelMap.java,CleanupChannelMap,"'org.apache.hedwig.client.netty.CleanupChannelMap.replaceChannel(T, HChannel, HChannel)'",34,2,3,1,7,8,3,1,0,1,1,44,44,44,0,0,0,44,44,44,1,1,44,44,44,0,0,0,44,44,44,True
4.1.1,3,2013-01-16,PubSubProtocol.PubSubResponse.Builder.java,PubSubProtocol.PubSubResponse.Builder,org.apache.hedwig.protocol.PubSubProtocol.PubSubResponse.Builder.setStatusMsg(com.google.protobuf.ByteString),5,3,1,0,1,0,0,1,0,1,1,5,5,5,0,0,0,5,5,5,1,1,5,5,5,0,0,0,5,5,5,True
4.1.1,3,2013-01-16,PubSubProtocol.HubLoadData.java,PubSubProtocol.HubLoadData,org.apache.hedwig.protocol.PubSubProtocol.HubLoadData.getDefaultInstanceForType(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,FileSystemUpgrade.java,FileSystemUpgrade,org.apache.bookkeeper.bookie.FileSystemUpgrade.printHelp(Options),4,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
