Version,ReleaseIndex,ReleaseData,File,Class,Signature,LOC,NumStatements,NumParams,NumLocalVars,Cyclomatic,CognitiveComplexity,NestingDepth,ReturnTypeComplexity,CodeSmells,MethodHistories,N-Authors,Churn,Stmt_Added,Stmt_Deleted,Total_MethodHistories,Total_N-Authors,Total_Churn,Total_Stmt_Added,Total_Stmt_Deleted,isBuggy
4.1.1,3,2013-01-16,DataFormats.LedgerMetadataFormat.Builder.java,DataFormats.LedgerMetadataFormat.Builder,org.apache.bookkeeper.proto.DataFormats.LedgerMetadataFormat.Builder.setQuorumSize(int),6,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,HedwigSocketAddress.java,HedwigSocketAddress,org.apache.hedwig.util.HedwigSocketAddress.toString(),5,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,PubSubProtocol.LedgerRange.Builder.java,PubSubProtocol.LedgerRange.Builder,org.apache.hedwig.protocol.PubSubProtocol.LedgerRange.Builder.mergeFrom(com.google.protobuf.Message),8,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,PubSubProtocol.SubscriptionOptions.Builder.java,PubSubProtocol.SubscriptionOptions.Builder,org.apache.hedwig.protocol.PubSubProtocol.SubscriptionOptions.Builder.clearForceAttach(),6,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,PubSubProtocol.SubscriptionEvent.java,PubSubProtocol.SubscriptionEvent,org.apache.hedwig.protocol.PubSubProtocol.SubscriptionEvent.internalGetValueMap(),3,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,LedgerDescriptorImpl.java,LedgerDescriptorImpl,org.apache.bookkeeper.bookie.LedgerDescriptorImpl.checkAccess(byte[]),5,1,1,0,2,1,1,1,0,0,0,0,0,0,1,1,113,113,0,False
4.1.1,3,2013-01-16,SimpleHChannelManager.java,SimpleHChannelManager,"org.apache.hedwig.client.netty.impl.simple.SimpleHChannelManager.operationFinished(Object, ResponseBody)",3,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,Auditor.java,Auditor,org.apache.bookkeeper.replication.Auditor.submitAuditTask(),37,1,0,4,7,7,2,1,0,1,1,71,70,1,1,1,71,70,1,False
4.1.1,3,2013-01-16,DataFormats.LedgerMetadataFormat.State.java,DataFormats.LedgerMetadataFormat.State,org.apache.bookkeeper.proto.DataFormats.LedgerMetadataFormat.State.findValueByNumber(int),3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,BookieServer.java,BookieServer,org.apache.bookkeeper.proto.BookieServer.registerJMX(),10,1,0,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,AbstractHChannelManager.java,AbstractHChannelManager,org.apache.hedwig.client.netty.impl.AbstractHChannelManager.isClosed(),8,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,PubSubProtocol.Message.java,PubSubProtocol.Message,org.apache.hedwig.protocol.PubSubProtocol.Message.getMsgIdOrBuilder(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,LedgerCacheImpl.java,LedgerCacheImpl,org.apache.bookkeeper.bookie.LedgerCacheImpl.getLastEntry(long),55,5,1,10,12,15,5,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,PubSubProtocol.StartDeliveryRequest.java,PubSubProtocol.StartDeliveryRequest,org.apache.hedwig.protocol.PubSubProtocol.StartDeliveryRequest.getDescriptor(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,8,4,4,False
4.1.1,3,2013-01-16,ServerConfiguration.java,ServerConfiguration,org.apache.hedwig.server.common.ServerConfiguration.getMessagesConsumedThreadRunInterval(),3,1,0,0,1,0,0,1,0,1,1,10,7,3,1,1,10,7,3,False
4.1.1,3,2013-01-16,PubSubProtocol.CloseSubscriptionRequest.java,PubSubProtocol.CloseSubscriptionRequest,org.apache.hedwig.protocol.PubSubProtocol.CloseSubscriptionRequest.getDescriptor(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,LocalDBPersistenceManager.java,LocalDBPersistenceManager,"org.apache.hedwig.server.persistence.LocalDBPersistenceManager.adjustTopicSeqIdForPublish(ByteString, Message)",18,5,2,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,PubSubProtocol.MessageHeader.java,PubSubProtocol.MessageHeader,org.apache.hedwig.protocol.PubSubProtocol.MessageHeader.parseDelimitedFrom(java.io.InputStream),8,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,PubSubProtocol.PubSubResponse.Builder.java,PubSubProtocol.PubSubResponse.Builder,org.apache.hedwig.protocol.PubSubProtocol.PubSubResponse.Builder.maybeForceBuilderInitialization(),6,1,0,0,2,1,1,1,0,1,1,1,1,0,1,1,1,1,0,True
4.1.1,3,2013-01-16,ProxyConsumeHandler.java,ProxyConsumeHandler,"org.apache.hedwig.server.proxy.ProxyConsumeHandler.handleRequest(PubSubRequest, Channel)",13,3,2,1,3,3,2,1,0,0,0,0,0,0,1,1,57,57,0,False
4.1.1,3,2013-01-16,DataFormats.LedgerRereplicationLayoutFormat.java,DataFormats.LedgerRereplicationLayoutFormat,org.apache.bookkeeper.proto.DataFormats.LedgerRereplicationLayoutFormat.writeReplace(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,PubSubProtocol.PubSubRequest.Builder.java,PubSubProtocol.PubSubRequest.Builder,org.apache.hedwig.protocol.PubSubProtocol.PubSubRequest.Builder.clearUnsubscribeRequest(),10,3,0,0,2,1,1,1,0,1,1,9,7,2,1,1,9,7,2,True
4.1.1,3,2013-01-16,PubSubProtocol.SubscriptionEventResponse.java,PubSubProtocol.SubscriptionEventResponse,org.apache.hedwig.protocol.PubSubProtocol.SubscriptionEventResponse.parseFrom(java.io.InputStream),3,1,1,0,1,0,0,1,0,1,1,2,1,1,1,1,2,1,1,False
4.1.1,3,2013-01-16,PubSubProtocol.PubSubRequest.Builder.java,PubSubProtocol.PubSubRequest.Builder,org.apache.hedwig.protocol.PubSubProtocol.PubSubRequest.Builder.getStopDeliveryRequestBuilder(),5,3,0,0,1,0,0,1,0,1,1,25,25,0,1,1,25,25,0,True
4.1.1,3,2013-01-16,PubSubProtocol.CloseSubscriptionRequest.java,PubSubProtocol.CloseSubscriptionRequest,org.apache.hedwig.protocol.PubSubProtocol.CloseSubscriptionRequest.isInitialized(),11,5,0,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,Bookie.java,Bookie,"org.apache.bookkeeper.bookie.Bookie.fenceLedger(long, byte[])",21,4,2,4,2,1,1,2,0,3,1,20,18,2,4,1,33,22,11,True
