2026-01-22 23:06:01.168 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java (1930 chars)
2026-01-22 23:06:01.169 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java (4221 chars)
2026-01-22 23:06:01.171 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java (4745 chars)
2026-01-22 23:06:01.174 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java (1480 chars)
2026-01-22 23:06:01.174 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java (1747 chars)
2026-01-22 23:06:01.175 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java (6689 chars)
2026-01-22 23:06:01.178 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java (2177 chars)
2026-01-22 23:06:01.179 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java (2524 chars)
2026-01-22 23:06:01.180 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java (1263 chars)
2026-01-22 23:06:01.180 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java (1885 chars)
2026-01-22 23:06:01.181 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java (7873 chars)
2026-01-22 23:06:01.185 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java (2352 chars)
2026-01-22 23:06:01.186 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java (3728 chars)
2026-01-22 23:06:01.186 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java (6075 chars)
2026-01-22 23:06:01.190 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java (914 chars)
2026-01-22 23:06:01.190 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java (8142 chars)
2026-01-22 23:06:01.194 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java (7157 chars)
2026-01-22 23:06:01.197 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/util/Either.java (1377 chars)
2026-01-22 23:06:01.198 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java (2880 chars)
2026-01-22 23:06:01.199 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java (2960 chars)
2026-01-22 23:06:01.200 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java (2455 chars)
2026-01-22 23:06:01.201 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java (32167 chars)
2026-01-22 23:06:01.220 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java (1783 chars)
2026-01-22 23:06:01.221 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java (20694 chars)
2026-01-22 23:06:01.229 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java (16160 chars)
2026-01-22 23:06:01.235 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java (1776 chars)
2026-01-22 23:06:01.235 [main] DEBUG i.f.isw2.metrics.MetricsCalculator - File parsato correttamente ma 0 metodi trovati: hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java
2026-01-22 23:06:01.235 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Nessun metodo trovato in: hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java
