Metric,Pearson,Spearman
NR,0.2021,0.2859
NAuth,0.2685,0.2788
LOC_Added,0.0071,0.2773
MAX_LOC_Added,0.0028,0.2761
AVG_LOC_Added,-0.0007,0.2745
Churn,0.0114,0.2723
MAX_Churn,0.0038,0.2707
AVG_Churn,-0.0003,0.2687
LOC_Deleted,0.0328,0.2555
MAX_LOC_Deleted,0.0151,0.2550
AVG_LOC_Deleted,0.0031,0.2529
Global_NR,0.1575,0.1690
Global_LOC_Deleted,0.0309,0.1603
Global_NAuth,0.1697,0.1580
Global_MAX_LOC_Deleted,0.0132,0.1567
Global_AVG_LOC_Deleted,-0.0072,0.1491
Global_LOC_Added,-0.0060,0.1397
Global_Churn,-0.0015,0.1350
Global_MAX_LOC_Added,-0.0103,0.1347
Cyclomatic,0.1378,0.1291
Global_MAX_Churn,-0.0094,0.1285
CognitiveComplexity,0.1369,0.1278
LOC,0.1529,0.1275
Global_AVG_LOC_Added,-0.0222,0.1272
NestingDepth,0.1282,0.1263
Global_AVG_Churn,-0.0230,0.1201
NumStatements,0.1270,0.1200
NumLocalVars,0.1147,0.1069
NumParams,-0.0310,-0.0361
CodeSmells,0.0140,0.0141
ReturnTypeComplexity,0.0086,0.0016
